time_s,left_target_roll_rad,left_target_pitch_rad,left_target_yaw_rad,left_actual_roll_rad,left_actual_pitch_rad,left_actual_yaw_rad,right_target_roll_rad,right_target_pitch_rad,right_target_yaw_rad,right_actual_roll_rad,right_actual_pitch_rad,right_actual_yaw_rad
0.02,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.5122622503410814,0.028138592366130876,0.07101932103802754,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.5106266597718686,0.03766265574708112,-0.07160066288190259
0.04,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.4763893449885996,-0.028484210844159537,0.07527927043685469,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.4857136794196965,-0.019621978512353384,-0.05654678129579621
0.06,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.45522834153588654,-0.06691975685989973,0.06619260532386305,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.43904537199175514,-0.057787859652306324,-0.03742914550998373
0.08,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.4578308827020154,-0.08215622587314082,0.04820702073090265,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.376664723439766,-0.03827726582580383,-0.0322937666704242
0.1,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.5265173271510623,-0.06798426535593848,0.06005283094295355,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.3850211680650213,0.03748341680593421,-0.052341152451822116
0.12,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.6128583021011862,-0.03485890372069326,0.09371166445165216,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.4641559374069443,0.11365241506559769,-0.08667969683875976
0.14,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.6714636652870136,-0.0047795021504478665,0.12234297256677419,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.5022938396488823,0.16122378866771803,-0.11112663215726892
0.16,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.6876608189064894,-0.0053307480440846645,0.15101766921239537,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.4625783434778043,0.17192621396263208,-0.13455594818971742
0.18,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.690332203335555,-0.04127023095633414,0.18829072746797626,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.3914928626282135,0.14943405900658605,-0.1504974770498052
0.2,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.7081897104326152,-0.0872131662550276,0.22937460056587544,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.3533709537378875,0.11818992625597483,-0.14900364103205216
0.22,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.7823832859701209,-0.11016026027924795,0.27317906184905794,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.356382633373933,0.09882776040214832,-0.1462991416315436
0.24,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.8766205762724958,-0.09967525455482662,0.30841332520154524,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.3590915952750288,0.09249763713795829,-0.14890054020215907
0.26,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.9147844072446468,-0.07142558767581539,0.3111205025384342,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.3305654507404451,0.09368747010553874,-0.14747255876796653
0.28,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.8945685801939377,-0.03524330642226588,0.2801276109427242,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.2990920329744008,0.09712549381934528,-0.1417686144710677
0.3,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.8643766340296833,-0.0029241732695615766,0.24023907521015495,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.2802993544622881,0.10231060352884264,-0.14629679094847461
0.32,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.8441534130154417,0.016199804821336844,0.2022356050363879,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.27557319724735596,0.10601678320678722,-0.16469478716318084
0.34,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.8172543602166514,0.02503312195504818,0.16374629408170507,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.29245805206483966,0.10809056588179962,-0.18692505814186228
0.36,-0.6614013564182245,0.08229128335589758,0.0710049532639217,-0.7777729338831528,0.02978515243158893,0.12559598673358355,0.6613526649497186,0.0822783194905016,-0.07104165376577126,0.32021622417248574,0.10952878280783838,-0.20207472893327813
