time_s,torso_roll_rad,torso_pitch_rad,torso_angular_velocity_world_x_radps,torso_angular_velocity_world_y_radps,torso_height_world_m,left_pos_error_m,right_pos_error_m,gait_frequency_hz,gait_phase,gait_sin,gait_cos,gait_sin_right,gait_cos_right,base_command_x_mps,base_command_y_mps,base_command_yaw_radps
0.02,-0.0017668837179259404,-0.01037550499819138,-0.17061276733875275,-1.008584976196289,0.8228102922439575,0.011614104732871056,0.012141077779233456,1.0,0.019999999747079753,0.12533323466777802,0.9921147227287292,-0.12533313035964966,-0.9921147227287292,0.30000001192092896,0.0,0.0
0.04,-0.005401415520668955,-0.03088463338856769,-0.08135896921157837,-0.95707768201828,0.8174484968185425,0.02181766740977764,0.02563553676009178,1.0,0.04000000250340006,0.2486899048089981,0.9685831665992737,-0.24869006872177124,-0.9685831069946289,0.30000001192092896,0.0,0.0
0.06,-0.008785864143523081,-0.04577317694308858,-0.06362299621105194,-0.6141476035118103,0.8135993480682373,0.032519858330488205,0.03727996349334717,1.0,0.05999999858132089,0.3681245446205139,0.9297764897346497,-0.3681245446205139,-0.9297764897346497,0.30000001192092896,0.0,0.0
0.08,-0.010436698406317056,-0.05133320815365832,-0.18860283493995667,-0.1024140864610672,0.8135697841644287,0.04154182970523834,0.040191520005464554,1.0,0.08000000208050734,0.48175370693206787,0.8763067126274109,-0.48175370693206787,-0.8763067126274109,0.30000001192092896,0.0,0.0
0.1,-0.013380774097426515,-0.053200999539428584,-0.08486762642860413,-0.05248233303427696,0.8153709173202515,0.04624192416667938,0.03646223992109299,1.0,0.09999999258696599,0.5877852439880371,0.8090170621871948,-0.587785542011261,-0.8090168237686157,0.30000001192092896,0.0,0.0
0.12,-0.016567930857330257,-0.056084799364631684,-0.21205586194992065,-0.14597967267036438,0.8173966407775879,0.05129876360297203,0.042361922562122345,1.0,0.1200000031385065,0.6845471262931824,0.728968620300293,-0.6845471858978271,-0.7289685606956482,0.30000001192092896,0.0,0.0
0.14,-0.02056986718858153,-0.0550975572261609,-0.15212102234363556,0.1641272008419037,0.818922758102417,0.059475377202034,0.05843529850244522,1.0,0.14000000511713737,0.7705132961273193,0.6374239921569824,-0.7705133557319641,-0.6374238729476929,0.30000001192092896,0.0,0.0
0.16,-0.02156212772123143,-0.05243801637068849,0.02881118282675743,0.08032484352588654,0.8195778131484985,0.06638486683368683,0.07547688484191895,1.0,0.16000001221177682,0.844327986240387,0.5358267426490784,-0.8443278074264526,-0.5358269810676575,0.30000001192092896,0.0,0.0
0.18,-0.019810400224718184,-0.05297353645401139,0.1041470319032669,-0.11810189485549927,0.8193973898887634,0.06981170922517776,0.08927030861377716,1.0,0.1799999973313184,0.9048270583152771,0.4257793128490448,-0.9048271775245667,-0.4257790148258209,0.30000001192092896,0.0,0.0
0.2,-0.017336137358817727,-0.05746886498909188,0.08922804892063141,-0.310480535030365,0.8179562091827393,0.07104981690645218,0.1002965122461319,1.0,0.19999998345953585,0.9510564804077148,0.3090170919895172,-0.9510564804077148,-0.3090171217918396,0.30000001192092896,0.0,0.0
0.22,-0.012818248936471828,-0.06293348429242034,0.28113311529159546,-0.26661643385887146,0.8156151175498962,0.07030615210533142,0.11129739135503769,1.0,0.22000001544544653,0.9822872877120972,0.18738122284412384,-0.9822873473167419,-0.18738090991973877,0.30000001192092896,0.0,0.0
0.24,-0.004510053943373483,-0.06799119754831989,0.43725231289863586,-0.32782235741615295,0.8148692846298218,0.06844411790370941,0.12276705354452133,1.0,0.24000000339991537,0.9980267286300659,0.06279049813747406,-0.9980267286300659,-0.06279052793979645,0.30000001192092896,0.0,0.0
0.26,0.003538206904583097,-0.07456528143939695,0.28395354747772217,-0.41968727111816406,0.8155438899993896,0.06733880937099457,0.1327384114265442,1.0,0.25999999186625733,0.9980267286300659,-0.06279046833515167,-0.9980267286300659,0.06279055774211884,0.30000001192092896,0.0,0.0
0.28,0.00909442880651159,-0.08163475906630997,0.18142753839492798,-0.3375930190086365,0.8161424398422241,0.06859860569238663,0.14137782156467438,1.0,0.2800000003096385,0.9822872281074524,-0.187381312251091,-0.9822872281074524,0.18738140165805817,0.30000001192092896,0.0,0.0
0.3,0.012742877316433383,-0.08655940165267885,0.11993417143821716,-0.2272009700536728,0.816152811050415,0.07156793773174286,0.1502266377210617,1.0,0.2999999865427804,0.9510565400123596,-0.3090169131755829,-0.9510566592216492,0.3090166747570038,0.30000001192092896,0.0,0.0
0.32,0.015532334660020426,-0.0902854136890519,0.083236463367939,-0.19201891124248505,0.8156335353851318,0.07510600984096527,0.15945279598236084,1.0,0.3200000152913111,0.9048269987106323,-0.4257793724536896,-0.9048269987106323,0.42577946186065674,0.30000001192092896,0.0,0.0
0.34,0.017531204545990324,-0.09386441923325257,0.05181773751974106,-0.17616187036037445,0.8149799704551697,0.07870739698410034,0.1679823100566864,1.0,0.34000002198316015,0.8443278670310974,-0.5358269214630127,-0.8443278074264526,0.5358269810676575,0.30000001192092896,0.0,0.0
