time_s,left_target_linear_velocity_x_mps,left_target_linear_velocity_y_mps,left_target_linear_velocity_z_mps,left_actual_linear_velocity_x_mps,left_actual_linear_velocity_y_mps,left_actual_linear_velocity_z_mps,right_target_linear_velocity_x_mps,right_target_linear_velocity_y_mps,right_target_linear_velocity_z_mps,right_actual_linear_velocity_x_mps,right_actual_linear_velocity_y_mps,right_actual_linear_velocity_z_mps
0.02,0.30000001192092896,1.3967443202034246e-08,0.0,-0.08602805435657501,-0.035486847162246704,0.45391738414764404,0.30000001192092896,1.3967443202034246e-08,0.0,-0.17675527930259705,0.22469240427017212,0.3526290953159332
0.04,0.30000001192092896,1.3967443202034246e-08,0.0,0.12490995228290558,-0.24191007018089294,0.46718499064445496,0.30000001192092896,1.3967443202034246e-08,0.0,-0.010895013809204102,0.2357727736234665,0.681961178779602
0.06,0.30000001192092896,1.3967443202034246e-08,0.0,0.1916864663362503,-0.6131293177604675,0.3331034481525421,0.30000001192092896,1.3967443202034246e-08,0.0,0.11414235830307007,0.1675298511981964,0.3919946551322937
0.08,0.30000001192092896,1.3967443202034246e-08,0.0,0.18180489540100098,-0.6483978629112244,-0.19385142624378204,0.30000001192092896,1.3967443202034246e-08,0.0,0.07025804370641708,-0.12686818838119507,-0.25249409675598145
0.1,0.30000001192092896,1.3967443202034246e-08,0.0,0.09665070474147797,-0.39657795429229736,-0.5362165570259094,0.30000001192092896,1.3967443202034246e-08,0.0,-0.06719325482845306,-0.6291252374649048,-0.6828182339668274
0.12,0.30000001192092896,1.3967443202034246e-08,0.0,0.04505006968975067,-0.3137827217578888,-0.7941680550575256,0.30000001192092896,1.3967443202034246e-08,0.0,-0.19948069751262665,-0.8022670745849609,-0.6862611770629883
0.14,0.30000001192092896,1.3967443202034246e-08,0.0,0.026385309174656868,-0.18443214893341064,-0.7226934432983398,0.30000001192092896,1.3967443202034246e-08,0.0,-0.2579687535762787,-0.7144324779510498,-0.5206270813941956
0.16,0.30000001192092896,1.3967443202034246e-08,0.0,-0.01972002163529396,-0.007596760988235474,-0.29976457357406616,0.30000001192092896,1.3967443202034246e-08,0.0,-0.2318466454744339,-0.6344437003135681,-0.16630631685256958
0.18,0.30000001192092896,1.3967443202034246e-08,0.0,-0.02473042905330658,0.047131508588790894,0.16326341032981873,0.30000001192092896,1.3967443202034246e-08,0.0,-0.15480771660804749,-0.47629863023757935,0.15127894282341003
0.2,0.30000001192092896,1.3967443202034246e-08,0.0,0.12433837354183197,0.01856374740600586,0.3218623399734497,0.30000001192092896,1.3967443202034246e-08,0.0,-0.035344675183296204,-0.49398916959762573,0.25996899604797363
0.22,0.30000001192092896,1.3967443202034246e-08,0.0,0.30348169803619385,0.012946724891662598,0.32341697812080383,0.30000001192092896,1.3967443202034246e-08,0.0,0.07013344764709473,-0.660651445388794,0.2566838264465332
0.24,0.30000001192092896,1.3967443202034246e-08,0.0,0.48115596175193787,-0.05391550064086914,0.23682677745819092,0.30000001192092896,1.3967443202034246e-08,0.0,0.15063251554965973,-0.671869158744812,0.21350865066051483
