time_s,left_target_angular_velocity_x_radps,left_target_angular_velocity_y_radps,left_target_angular_velocity_z_radps,left_actual_angular_velocity_x_radps,left_actual_angular_velocity_y_radps,left_actual_angular_velocity_z_radps,right_target_angular_velocity_x_radps,right_target_angular_velocity_y_radps,right_target_angular_velocity_z_radps,right_actual_angular_velocity_x_radps,right_actual_angular_velocity_y_radps,right_actual_angular_velocity_z_radps
0.02,0.0,0.0,0.0,4.775243759155273,-3.0885396003723145,-0.04443458095192909,0.0,0.0,0.0,-4.729978084564209,-2.3993780612945557,0.2673831284046173
0.04,0.0,0.0,0.0,1.3379930257797241,-2.3394885063171387,-0.15342594683170319,0.0,0.0,0.0,-0.8240938186645508,-3.1117286682128906,0.9609708189964294
0.06,0.0,0.0,0.0,0.9402264952659607,-1.4348798990249634,-0.7368206977844238,0.0,0.0,0.0,-2.8571267127990723,-0.631771981716156,0.7476235032081604
0.08,0.0,0.0,0.0,-0.870995044708252,-0.171921968460083,-0.6332166790962219,0.0,0.0,0.0,-3.151214838027954,2.418487071990967,-0.25772160291671753
0.1,0.0,0.0,0.0,-4.544155120849609,0.8207828998565674,1.0125255584716797,0.0,0.0,0.0,1.6800802946090698,4.042104244232178,-1.7197751998901367
0.12,0.0,0.0,0.0,-4.186400890350342,1.7479318380355835,1.5751969814300537,0.0,0.0,0.0,4.421093463897705,2.9470231533050537,-2.0432517528533936
0.14,0.0,0.0,0.0,-2.351140022277832,1.0350528955459595,1.3422507047653198,0.0,0.0,0.0,1.1555567979812622,1.6913386583328247,-1.0429738759994507
0.16,0.0,0.0,0.0,-0.5492969155311584,-0.8740471601486206,1.6696182489395142,0.0,0.0,0.0,-2.600979804992676,0.16367168724536896,-0.6481505036354065
0.18,0.0,0.0,0.0,0.1948428452014923,-2.414893865585327,2.0407509803771973,0.0,0.0,0.0,-3.908259391784668,-0.9639570116996765,0.1568298041820526
0.2,0.0,0.0,0.0,-0.5863910913467407,-2.4047913551330566,1.9918968677520752,0.0,0.0,0.0,-1.725371241569519,-1.1359795331954956,0.36751797795295715
0.22,0.0,0.0,0.0,-3.9160871505737305,-1.649604320526123,1.6770832538604736,0.0,0.0,0.0,0.29672735929489136,-0.57115638256073,-0.16813932359218597
0.24,0.0,0.0,0.0,-4.587169170379639,-0.25323641300201416,0.9282071590423584,0.0,0.0,0.0,-0.18785832822322845,0.08098284900188446,-0.20388703048229218
0.26,0.0,0.0,0.0,-1.0821832418441772,1.3871608972549438,-0.7169187664985657,0.0,0.0,0.0,-1.8132387399673462,0.4933311343193054,0.3112240731716156
0.28,0.0,0.0,0.0,1.121888518333435,2.211881637573242,-1.8363386392593384,0.0,0.0,0.0,-1.358413815498352,0.36251673102378845,0.28468453884124756
0.3,0.0,0.0,0.0,1.2231351137161255,1.6814576387405396,-1.9899492263793945,0.0,0.0,0.0,-0.48073697090148926,0.32590264081954956,-0.5600382685661316
0.32,0.0,0.0,0.0,0.8970509767532349,0.9225131869316101,-1.8943043947219849,0.0,0.0,0.0,0.1076500341296196,0.052481722086668015,-1.0936307907104492
0.34,0.0,0.0,0.0,1.6356931924819946,0.6341556906700134,-2.02931547164917,0.0,0.0,0.0,1.2110412120819092,-0.1800890415906906,-1.3107130527496338
0.36,0.0,0.0,0.0,2.153970241546631,0.5286991596221924,-1.86798894405365,0.0,0.0,0.0,1.41521155834198,-0.30969759821891785,-0.7050594687461853
0.38,0.0,0.0,0.0,2.2514731884002686,0.522543728351593,-1.4002536535263062,0.0,0.0,0.0,1.7549759149551392,-0.7092263698577881,0.033570919185876846
0.4,0.0,0.0,0.0,1.927796721458435,0.4100503921508789,-0.9922667741775513,0.0,0.0,0.0,1.619356632232666,-0.7678722143173218,0.39740946888923645
0.42,0.0,0.0,0.0,1.1642149686813354,0.16961853206157684,-0.7195214033126831,0.0,0.0,0.0,2.080289363861084,-0.9095973968505859,0.41229164600372314
0.44,0.0,0.0,0.0,0.45498356223106384,-0.09894541651010513,-0.5101553797721863,0.0,0.0,0.0,2.9512197971343994,-1.3412961959838867,0.45916062593460083
0.46,0.0,0.0,0.0,-0.14872929453849792,-0.34412914514541626,-0.2638239562511444,0.0,0.0,0.0,3.335676431655884,-1.6404684782028198,0.6089478731155396
0.48,0.0,0.0,0.0,-0.3759838342666626,-0.48748475313186646,-0.12982910871505737,0.0,0.0,0.0,2.8555397987365723,-1.4484539031982422,0.7432484030723572
0.5,0.0,0.0,0.0,-0.06034145504236221,-0.5050583481788635,-0.23748323321342468,0.0,0.0,0.0,2.0247201919555664,-0.9885578751564026,0.7168216705322266
0.52,0.0,0.0,0.0,0.5290831923484802,-0.498883992433548,-0.5108980536460876,0.0,0.0,0.0,1.39448082447052,-0.6667991280555725,0.6076217889785767
0.54,0.0,0.0,0.0,0.9775581359863281,-0.574863851070404,-0.8181450963020325,0.0,0.0,0.0,0.947675347328186,-0.4557254910469055,0.42631736397743225
0.56,0.0,0.0,0.0,1.453170895576477,-0.6052632927894592,-1.1479847431182861,0.0,0.0,0.0,0.8049033284187317,-0.3055221736431122,0.1210644468665123
0.58,0.0,0.0,0.0,1.7880656719207764,-0.5897436738014221,-1.444277048110962,0.0,0.0,0.0,0.926156222820282,-0.2537757456302643,-0.25749924778938293
0.6,0.0,0.0,0.0,1.9185230731964111,-0.5441659092903137,-1.6361618041992188,0.0,0.0,0.0,1.0810797214508057,-0.16645531356334686,-0.5965864062309265
0.62,0.0,0.0,0.0,2.023122787475586,-0.03863942623138428,-1.5883378982543945,0.0,0.0,0.0,1.4233512878417969,0.45397576689720154,-0.6673323512077332
0.64,0.0,0.0,0.0,1.6158287525177002,0.4802996516227722,-1.6410096883773804,0.0,0.0,0.0,1.453410029411316,0.7994609475135803,-0.8078814148902893
0.66,0.0,0.0,0.0,0.7646700143814087,0.713300883769989,-1.4255104064941406,0.0,0.0,0.0,0.941403865814209,1.1683720350265503,-1.0960330963134766
0.68,0.0,0.0,0.0,0.02762627974152565,0.8814780712127686,-0.9182770252227783,0.0,0.0,0.0,0.03717130795121193,1.3069418668746948,-1.0586692094802856
0.7000000000000001,0.0,0.0,0.0,0.1299915313720703,0.7737080454826355,-0.47334685921669006,0.0,0.0,0.0,-1.4400904178619385,1.5053092241287231,-0.7595058083534241
0.72,0.0,0.0,0.0,0.5788240432739258,0.619109570980072,-0.08062722533941269,0.0,0.0,0.0,-2.0671374797821045,1.4780670404434204,-0.5337518453598022
0.74,0.0,0.0,0.0,0.7332820892333984,0.3589780032634735,0.4540661871433258,0.0,0.0,0.0,-1.9621717929840088,1.4898419380187988,-0.3311215341091156
0.76,0.0,0.0,0.0,0.3744305670261383,0.09698591381311417,0.9497534036636353,0.0,0.0,0.0,-1.5181679725646973,1.3028254508972168,-0.14299854636192322
0.78,0.0,0.0,0.0,0.05672195926308632,-0.3438379764556885,1.3799818754196167,0.0,0.0,0.0,-1.6725040674209595,1.244768738746643,-0.09890390932559967
0.8,0.0,0.0,0.0,0.22762300074100494,-0.3321688175201416,1.4778555631637573,0.0,0.0,0.0,-1.75200617313385,1.2440837621688843,0.016336573287844658
0.8200000000000001,0.0,0.0,0.0,0.8642703890800476,-0.3049960136413574,1.2386560440063477,0.0,0.0,0.0,-1.9210902452468872,1.535698413848877,0.09530208259820938
0.84,0.0,0.0,0.0,0.6773079037666321,-0.2054181694984436,1.084694504737854,0.0,0.0,0.0,-1.7683947086334229,1.663205623626709,0.2961564362049103
0.86,0.0,0.0,0.0,-0.07647935301065445,-0.12085377424955368,0.909155547618866,0.0,0.0,0.0,-1.0821934938430786,1.4199135303497314,0.40741533041000366
0.88,0.0,0.0,0.0,-0.9803815484046936,-0.1614273637533188,0.7075625061988831,0.0,0.0,0.0,-0.7815194725990295,1.2246509790420532,0.4419572055339813
0.9,0.0,0.0,0.0,-1.8280025720596313,-0.23219791054725647,0.566218376159668,0.0,0.0,0.0,-0.5710138082504272,1.0582371950149536,0.5508654117584229
0.92,0.0,0.0,0.0,-2.2823266983032227,-0.25516819953918457,0.4358488917350769,0.0,0.0,0.0,-0.4161930978298187,0.9661670923233032,0.6206560134887695
0.9400000000000001,0.0,0.0,0.0,-2.42801833152771,-0.20002871751785278,0.34971433877944946,0.0,0.0,0.0,-0.18823258578777313,0.8922158479690552,0.7596302032470703
0.96,0.0,0.0,0.0,-2.5041990280151367,-0.08092162758111954,0.30985143780708313,0.0,0.0,0.0,-0.01825229823589325,0.8058587312698364,0.9147859811782837
0.98,0.0,0.0,0.0,-2.4378061294555664,0.03875945881009102,0.24554292857646942,0.0,0.0,0.0,-0.05452994629740715,0.7947942018508911,1.001301884651184
1.0,0.0,0.0,0.0,-2.1363306045532227,0.12270914018154144,0.11040779948234558,0.0,0.0,0.0,-0.060497332364320755,0.7184048295021057,1.051916480064392
