time_s,left_pos_error_m,right_pos_error_m,mean_pos_error_m,mean_lin_vel_error_mps,mean_ang_vel_error_radps,mean_rot_error_rad,left_position_error_world_x_m,left_position_error_world_y_m,left_position_error_world_z_m,left_rotation_error_world_x_rad,left_rotation_error_world_y_rad,left_rotation_error_world_z_rad,left_linear_velocity_error_world_x_mps,left_linear_velocity_error_world_y_mps,left_linear_velocity_error_world_z_mps,left_angular_velocity_error_world_x_radps,left_angular_velocity_error_world_y_radps,left_angular_velocity_error_world_z_radps,right_position_error_world_x_m,right_position_error_world_y_m,right_position_error_world_z_m,right_rotation_error_world_x_rad,right_rotation_error_world_y_rad,right_rotation_error_world_z_rad,right_linear_velocity_error_world_x_mps,right_linear_velocity_error_world_y_mps,right_linear_velocity_error_world_z_mps,right_angular_velocity_error_world_x_radps,right_angular_velocity_error_world_y_radps,right_angular_velocity_error_world_z_radps
0.02,0.011614104732871056,0.012141077779233456,0.011877590790390968,0.615530252456665,5.4988298416137695,0.15789782234538927,0.00877535343170166,0.0025663375854492188,-0.007162034511566162,-0.15238972277607604,0.043349101139871206,0.008217257404547847,0.3860280513763428,0.0354868620634079,-0.45391738414764404,-4.775243759155273,3.0885396003723145,0.04443458095192909,0.009680569171905518,-0.004387691617012024,-0.00586855411529541,0.15325826283133495,0.0336953148776859,-0.008476511455329207,0.476755291223526,-0.22469238936901093,-0.3526290953159332,4.729978084564209,2.3993780612945557,-0.2673831284046173
0.04,0.02181766740977764,0.02563553676009178,0.023726601153612137,0.6700829863548279,3.0294108390808105,0.2097007330527427,0.013687670230865479,0.004752695560455322,-0.0163116455078125,-0.1926163382780458,0.09664164684177126,0.0007216656808437337,0.17509005963802338,0.24191008508205414,-0.46718499064445496,-1.3379930257797241,2.3394885063171387,0.15342594683170319,0.017368942499160767,-0.009166136384010315,-0.016476750373840332,0.18175367037626247,0.09023619514315587,-0.019949051048970434,0.31089502573013306,-0.2357727587223053,-0.681961178779602,0.8240938186645508,3.1117286682128906,-0.9609708189964294
0.06,0.032519858330488205,0.03727996349334717,0.034899912774562836,0.5855879783630371,2.443586826324463,0.25974817119329996,0.01612916588783264,0.01386287808418274,-0.0246010422706604,-0.21606412345089165,0.13418741619954797,0.006372378046679325,0.10831354558467865,0.6131293177604675,-0.3331034481525421,-0.9402264952659607,1.4348798990249634,0.7368206977844238,0.021833360195159912,-0.013268917798995972,-0.027148425579071045,0.22971868299194592,0.1272302407468522,-0.03614343195152505,0.1858576536178589,-0.16752983629703522,-0.3919946551322937,2.8571267127990723,0.631771981716156,-0.7476235032081604
0.08,0.04154182970523834,0.040191520005464554,0.0408666729927063,0.5255918502807617,2.535571575164795,0.28734259805194007,0.01819780468940735,0.027376040816307068,-0.02539914846420288,-0.21320440442760774,0.15145044250436193,0.022681597888419246,0.11819511651992798,0.6483978629112244,0.19385142624378204,0.870995044708252,0.171921968460083,0.6332166790962219,0.025601834058761597,-0.0133257657289505,-0.02797013521194458,0.290618419350792,0.10488068495090622,-0.04470568627083315,0.22974196076393127,0.12686820328235626,0.25249409675598145,3.151214838027954,-2.418487071990967,0.25772160291671753
0.1,0.04624192416667938,0.03646223992109299,0.041352082043886185,0.847840428352356,4.715232849121094,0.24191571111315663,0.02137547731399536,0.03741501271724701,-0.01677858829498291,-0.14454385046762086,0.14088573239428803,0.011880766298493498,0.203349307179451,0.39657795429229736,0.5362165570259094,4.544155120849609,-0.8207828998565674,-1.0125255584716797,0.03186219930648804,-0.0048229992389678955,-0.017059683799743652,0.27808971116056874,0.027418545874586375,-0.03511699141075966,0.3671932816505432,0.6291252374649048,0.6828182339668274,-1.6800802946090698,-4.042104244232178,1.7197751998901367
0.12,0.05129876360297203,0.042361922562122345,0.04683034121990204,1.0295454263687134,5.247478008270264,0.16368818370073723,0.0260104238986969,0.04413078725337982,-0.0027373433113098145,-0.05802913998698491,0.11273782575972381,-0.02152446687834743,0.2549499273300171,0.3137827217578888,0.7941680550575256,4.186400890350342,-1.7479318380355835,-1.5751969814300537,0.04091757535934448,0.010541126132011414,-0.003028392791748047,0.19318264283909434,-0.04663578314254365,-0.003701784812608759,0.4994807243347168,0.8022670745849609,0.6862611770629883,-4.421093463897705,-2.9470231533050537,2.0432517528533936
0.14,0.059475377202034,0.05843529850244522,0.05895533785223961,0.9199141263961792,2.5985279083251953,0.13972664146410146,0.03142628073692322,0.048978716135025024,0.012279748916625977,0.0016069422991524301,0.0876440821975329,-0.05169509845628647,0.27361470460891724,0.18443216383457184,0.7226934432983398,2.351140022277832,-1.0350528955459595,-1.3422507047653198,0.05161845684051514,0.02582429349422455,0.009128153324127197,0.15010225049202294,-0.09281695636463237,0.02065827997558296,0.5579687356948853,0.7144324779510498,0.5206270813941956,-1.1555567979812622,-1.6913386583328247,1.0429738759994507
0.16,0.06638486683368683,0.07547688484191895,0.07093087583780289,0.6413751840591431,2.324249505996704,0.17101562176873805,0.03734049201011658,0.05047304928302765,0.021566331386566162,0.016384957126279603,0.09001014270087858,-0.08096754566708265,0.3197200298309326,0.007596774958074093,0.29976457357406616,0.5492969155311584,0.8740471601486206,-1.6696182489395142,0.06252485513687134,0.03939692676067352,0.015339076519012451,0.18703275473658568,-0.10912450704935314,0.038060853840922455,0.5318466424942017,0.6344437003135681,0.16630631685256958,2.600979804992676,-0.16367168724536896,0.6481505036354065
0.18,0.06981170922517776,0.08927030861377716,0.07954101264476776,0.5211120843887329,3.598069667816162,0.22677162892966424,0.043731093406677246,0.0498788058757782,0.021757185459136963,0.012734175229512089,0.1263309578257597,-0.11772183187126622,0.32473045587539673,-0.0471314936876297,-0.16326341032981873,-0.1948428452014923,2.414893865585327,-2.0407509803771973,0.07223597168922424,0.050400957465171814,0.014522254467010498,0.25909339974979034,-0.09598057535780793,0.0477490177677104,0.45480772852897644,0.47629863023757935,-0.15127894282341003,3.908259391784668,0.9639570116996765,-0.1568298041820526
0.2,0.07104981690645218,0.1002965122461319,0.08567316830158234,0.5091750025749207,2.6376919746398926,0.27422097033452425,0.048453718423843384,0.04936893284320831,0.016217947006225586,0.020981171612998253,0.17475668066527006,-0.15784567432229413,0.17566163837909698,-0.018563734367489815,-0.3218623399734497,0.5863910913467407,2.4047913551330566,-1.9918968677520752,0.07982245087623596,0.05994795262813568,0.009695649147033691,0.3007027784239997,-0.06906416434556681,0.04652230751297106,0.33534467220306396,0.49398916959762573,-0.25996899604797363,1.725371241569519,1.1359795331954956,-0.36751797795295715
