step,time_s,episode_id,episode_step,left_target_virtual_force_x_n,left_target_virtual_force_y_n,left_target_virtual_force_z_n,right_target_virtual_force_x_n,right_target_virtual_force_y_n,right_target_virtual_force_z_n,left_force_control_axis_x,left_force_control_axis_y,left_force_control_axis_z,right_force_control_axis_x,right_force_control_axis_y,right_force_control_axis_z,gait_stance_rate,gait_bipedal_offset,gait_frequency_hz,gait_sin_left,gait_cos_left,gait_sin_right,gait_cos_right,base_command_x_mps,base_command_y_mps,base_command_yaw_radps,left_estimated_virtual_force_x_n,left_estimated_virtual_force_y_n,left_estimated_virtual_force_z_n,right_estimated_virtual_force_x_n,right_estimated_virtual_force_y_n,right_estimated_virtual_force_z_n,appended_base_action_left_shoulder_pitch_joint,appended_base_action_left_shoulder_roll_joint,appended_base_action_left_shoulder_yaw_joint,appended_base_action_left_elbow_joint,appended_base_action_left_wrist_roll_joint,appended_base_action_left_wrist_pitch_joint,appended_base_action_left_wrist_yaw_joint,appended_base_action_right_shoulder_pitch_joint,appended_base_action_right_shoulder_roll_joint,appended_base_action_right_shoulder_yaw_joint,appended_base_action_right_elbow_joint,appended_base_action_right_wrist_roll_joint,appended_base_action_right_wrist_pitch_joint,appended_base_action_right_wrist_yaw_joint,appended_base_action_l2,appended_base_action_max_abs
0.0,0.0,0.0,0.0,6.396171592371047e-09,8.697928599588067e-09,-0.24525000154972076,6.396171592371047e-09,8.697928599588067e-09,-0.24525000154972076,-2.6080209991619085e-08,-3.546556115452404e-08,1.0,-2.6080209991619085e-08,-3.546556115452404e-08,1.0,0.6499999761581421,0.5,1.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.036150991916656494,-0.04349160194396973,0.3584478795528412,-0.024478524923324585,0.06158618628978729,-0.41092565655708313,-2.916532516479492,1.3299827575683594,0.443742573261261,-1.4320958852767944,-1.225946068763733,-1.5319430828094482,-0.27703794836997986,-2.446913719177246,-0.6285702586174011,0.009214147925376892,-1.3570805788040161,1.045129656791687,-1.0267624855041504,-0.11715522408485413,5.18014169816467,2.916532516479492
1.0,0.02,0.0,1.0,-0.0025445467326790094,0.0004333046672400087,-0.24523641169071198,-0.0025445467326790094,0.0004333046672400087,-0.24523641169071198,0.010375317186117172,-0.0017667877255007625,0.9999446272850037,0.010375317186117172,-0.0017667877255007625,0.9999446272850037,0.6499999761581421,0.5,1.0,0.12533323466777802,0.9921147227287292,-0.12533313035964966,-0.9921147227287292,0.30000001192092896,0.0,0.0,-0.17747195065021515,0.006922215223312378,-6.357226371765137,-0.07778240740299225,-0.036139339208602905,-3.6164112091064453,-4.493024826049805,0.8803431391716003,-0.3595060706138611,-1.7179648876190186,-1.7274885177612305,-1.7301476001739502,0.24108633399009705,-4.417250633239746,-1.4064992666244507,-0.34884190559387207,-2.1894800662994385,1.7561911344528198,-1.2991321086883545,0.4908524453639984,7.842028988551136,4.493024826049805
2.0,0.04,0.0,2.0,-0.007573252078145742,0.0013240589760243893,-0.24512946605682373,-0.007573252078145742,0.0013240589760243893,-0.24512946605682373,0.03087972290813923,-0.005398813169449568,0.9995085000991821,0.03087972290813923,-0.005398813169449568,0.9995085000991821,0.6499999761581421,0.5,1.0,0.2486899048089981,0.9685831665992737,-0.24869006872177124,-0.9685831069946289,0.30000001192092896,0.0,0.0,-0.36557820439338684,0.18346965312957764,-11.843921661376953,-0.29405033588409424,0.03313495218753815,-11.197842597961426,-4.1209492683410645,0.5359491109848022,-0.7157859206199646,-1.6623245477676392,-1.5909044742584229,-1.946317195892334,0.7998729348182678,-4.090075969696045,-1.403569221496582,-0.3771880865097046,-1.547916293144226,1.5590194463729858,-1.6219310760498047,0.9226884841918945,7.392811432889425,4.1209492683410645
3.0,0.06,0.0,3.0,-0.01122195366770029,0.002152448520064354,-0.24498367309570312,-0.01122195366770029,0.002152448520064354,-0.24498367309570312,0.04575720056891441,-0.008776549249887466,0.9989140629768372,0.04575720056891441,-0.008776549249887466,0.9989140629768372,0.6499999761581421,0.5,1.0,0.3681245446205139,0.9297764897346497,-0.3681245446205139,-0.9297764897346497,0.30000001192092896,0.0,0.0,-0.7869572639465332,0.48207834362983704,-16.931575775146484,-1.0495144128799438,0.4963807761669159,-18.836284637451172,-2.428030014038086,0.45941871404647827,-0.3600578308105469,-0.8780382871627808,-1.387586236000061,-2.4620978832244873,0.7958710193634033,-2.4899868965148926,-1.1033461093902588,-0.2783290147781372,-0.46431583166122437,1.3502508401870728,-1.2827529907226562,0.40109023451805115,5.193042457393949,2.4899868965148926
4.0,0.08,0.0,4.0,-0.012583940289914608,0.0025561824440956116,-0.24491360783576965,-0.012583940289914608,0.0025561824440956116,-0.24491360783576965,0.051310665905475616,-0.010422761552035809,0.9986283779144287,0.051310665905475616,-0.010422761552035809,0.9986283779144287,0.6499999761581421,0.5,1.0,0.48175370693206787,0.8763067126274109,-0.48175370693206787,-0.8763067126274109,0.30000001192092896,0.0,0.0,-1.1180717945098877,0.31628140807151794,-18.23833656311035,-1.1793123483657837,0.3327501714229584,-18.353073120117188,-2.330306053161621,0.6057754158973694,0.06336303055286407,-0.8089735507965088,-1.5720250606536865,-3.2229974269866943,1.2967021465301514,-1.981999158859253,-1.0121545791625977,-0.41593170166015625,-0.01823382079601288,1.7041212320327759,0.21018221974372864,-0.30878594517707825,5.400538733065805,3.2229974269866943
5.0,0.1,0.0,5.0,-0.013041391037404537,0.003276894334703684,-0.24488109350204468,-0.013041391037404537,0.003276894334703684,-0.24488109350204468,0.0531759075820446,-0.01336144469678402,0.9984957575798035,0.0531759075820446,-0.01336144469678402,0.9984957575798035,0.6499999761581421,0.5,1.0,0.5877852439880371,0.8090170621871948,-0.587785542011261,-0.8090168237686157,0.30000001192092896,0.0,0.0,-0.9781020879745483,0.005193799734115601,-15.64898681640625,-0.6720632910728455,0.32058194279670715,-9.995131492614746,-2.0841798782348633,0.6582671999931335,-0.06131403148174286,-0.49763697385787964,-1.7839469909667969,-3.428056478500366,1.5368599891662598,-1.6693931818008423,-0.6969955563545227,-0.24973072111606598,-0.18466636538505554,2.1071248054504395,1.2107160091400146,-0.3772810995578766,5.633985523722229,3.428056478500366
6.0,0.12,0.0,6.0,-0.01374758593738079,0.004056710284203291,-0.24483077228069305,-0.01374758593738079,0.004056710284203291,-0.24483077228069305,0.05605539679527283,-0.016541123390197754,0.9982906579971313,0.05605539679527283,-0.016541123390197754,0.9982906579971313,0.6499999761581421,0.5,1.0,0.6845471262931824,0.728968620300293,-0.6845471858978271,-0.7289685606956482,0.30000001192092896,0.0,0.0,0.016787737607955933,0.023016661405563354,-0.824688732624054,0.005722403526306152,0.15658341348171234,0.9175750017166138,-1.9099544286727905,0.9706658720970154,0.0976005494594574,-0.14691241085529327,-1.913639783859253,-3.918893575668335,1.26224946975708,-1.746062994003296,-0.6304715275764465,-0.152443990111351,-0.45370709896087646,2.01344633102417,1.269455909729004,-0.07763782143592834,5.880567725664167,3.918893575668335
7.0,0.14,0.0,7.0,-0.013505839742720127,0.005036748945713043,-0.2448260337114334,-0.013505839742720127,0.005036748945713043,-0.2448260337114334,0.0550696887075901,-0.020537203177809715,0.9982712864875793,0.0550696887075901,-0.020537203177809715,0.9982712864875793,0.6499999761581421,0.5,1.0,0.7705132961273193,0.6374239921569824,-0.7705133557319641,-0.6374238729476929,0.30000001192092896,0.0,0.0,0.6775156259536743,-0.12095010280609131,11.22147274017334,0.5026502013206482,0.06089554727077484,8.911301612854004,-1.552615761756897,0.43068236112594604,0.3289203643798828,-0.3595917820930481,-1.5578770637512207,-4.142780780792236,0.7338636517524719,-1.839529037475586,-0.4473041892051697,0.14878423511981964,-0.6258870363235474,1.5475314855575562,0.5699545741081238,-0.31876835227012634,5.45718809319625,4.142780780792236
8.0,0.16,0.0,8.0,-0.012854531407356262,0.005280433688312769,-0.24485595524311066,-0.012854531407356262,0.005280433688312769,-0.24485595524311066,0.05241399258375168,-0.021530820056796074,0.9983932971954346,0.05241399258375168,-0.021530820056796074,0.9983932971954346,0.6499999761581421,0.5,1.0,0.844327986240387,0.5358267426490784,-0.8443278074264526,-0.5358269810676575,0.30000001192092896,0.0,0.0,1.0081636905670166,-0.09394881129264832,17.473695755004883,0.7556262612342834,-0.07382549345493317,11.763165473937988,-1.7839733362197876,0.06780193746089935,0.46674221754074097,-0.9316779375076294,-1.2366644144058228,-4.178264141082764,0.35502904653549194,-2.1023497581481934,-0.6166307926177979,0.4267984628677368,-0.9768748879432678,1.3801518678665161,-0.08214589953422546,-0.36323922872543335,5.600568288432973,4.178264141082764
9.0,0.18,0.0,9.0,-0.012985683977603912,0.004851368255913258,-0.24485792219638824,-0.012985683977603912,0.004851368255913258,-0.24485792219638824,0.052948761731386185,-0.019781317561864853,0.9984012842178345,0.052948761731386185,-0.019781317561864853,0.9984012842178345,0.6499999761581421,0.5,1.0,0.9048270583152771,0.4257793128490448,-0.9048271775245667,-0.4257790148258209,0.30000001192092896,0.0,0.0,0.8525640368461609,0.020493686199188232,15.976356506347656,0.6568531394004822,-0.05998341739177704,8.91297435760498,-2.3595595359802246,0.10799669474363327,0.5318781733512878,-1.1476211547851562,-1.4450609683990479,-3.9070658683776855,0.2802983522415161,-2.4639875888824463,-0.9855274558067322,0.35841113328933716,-1.0944751501083374,1.7207740545272827,-0.3146873712539673,-0.12405288219451904,6.00461151695412,3.9070658683776855
