step,time_s,episode_id,episode_step,left_reference_position_x_m,left_reference_position_y_m,left_reference_position_z_m,left_reference_quaternion_w,left_reference_quaternion_x,left_reference_quaternion_y,left_reference_quaternion_z,left_reference_linear_velocity_x_mps,left_reference_linear_velocity_y_mps,left_reference_linear_velocity_z_mps,left_reference_angular_velocity_x_radps,left_reference_angular_velocity_y_radps,left_reference_angular_velocity_z_radps,right_reference_position_x_m,right_reference_position_y_m,right_reference_position_z_m,right_reference_quaternion_w,right_reference_quaternion_x,right_reference_quaternion_y,right_reference_quaternion_z,right_reference_linear_velocity_x_mps,right_reference_linear_velocity_y_mps,right_reference_linear_velocity_z_mps,right_reference_angular_velocity_x_radps,right_reference_angular_velocity_y_radps,right_reference_angular_velocity_z_radps,left_reference_roll_rad,left_reference_pitch_rad,left_reference_yaw_rad,right_reference_roll_rad,right_reference_pitch_rad,right_reference_yaw_rad
0.0,0.0,0.0,0.0,0.40605080127716064,0.21185703575611115,0.09524013102054596,0.9439451098442078,-0.3256075382232666,0.027365023270249367,0.046891313046216965,0.30000001192092896,7.82406317512141e-09,7.82406406329983e-09,0.0,0.0,0.0,0.4060494303703308,-0.2118527889251709,0.09522855281829834,0.9439525604248047,0.32558491826057434,0.0273540448397398,-0.04690594971179962,0.30000001192092896,7.82406317512141e-09,7.82406406329983e-09,0.0,0.0,0.0,-0.661401338405772,0.08229131296496213,0.07100484478685723,0.6613525841787393,0.08227835135712891,-0.07104169699438603
1.0,0.02,0.0,1.0,0.40865159034729004,0.21338558197021484,0.09257207065820694,0.9440043568611145,-0.32456132769584656,0.03169882670044899,0.050109975039958954,0.0041488599963486195,0.03776886314153671,0.16054873168468475,0.17093217372894287,1.0085216760635376,0.3411003649234772,0.40999835729599,-0.21032139658927917,0.09179788827896118,0.9435808062553406,0.32613474130630493,0.03281057998538017,-0.04706321284174919,0.0041488599963486195,0.03776886314153671,0.16054873168468475,0.17093217372894287,1.0085216760635376,0.3411003649234772,-0.6588593654701037,0.0925070538455215,0.07441820323139543,0.662416460779405,0.09274967912358648,-0.06775738711315525
2.0,0.04,0.0,2.0,0.4105752110481262,0.21528920531272888,0.09031987190246582,0.9441460371017456,-0.322334885597229,0.04075240343809128,0.055024053901433945,0.07612026482820511,0.013715552166104317,0.31087377667427063,0.07426560670137405,0.9577441811561584,-0.02866176702082157,0.4132649004459381,-0.20840537548065186,0.08793662488460541,0.942665159702301,0.3273265063762665,0.043095510452985764,-0.048811085522174835,0.07612026482820511,0.013715552166104317,0.31087377667427063,0.07426560670137405,0.9577441811561584,-0.02866176702082157,-0.6535800154572683,0.11266297966494028,0.07820463367251214,0.6647684636869718,0.11344678788750052,-0.06426950221985361
3.0,0.06,0.0,3.0,0.4121502637863159,0.2206670045852661,0.08881507068872452,0.9441099166870117,-0.32034245133399963,0.04584769159555435,0.06272754818201065,0.15807636082172394,0.028567476198077202,0.09458021074533463,0.09811332076787949,0.6064841151237488,0.9901043176651001,0.4194962978363037,-0.2029595971107483,0.08474497497081757,0.9419519305229187,0.32850512862205505,0.051983967423439026,-0.045917365700006485,0.15807636082172394,0.028567476198077202,0.09458021074533463,0.09811332076787949,0.6064841151237488,0.9901043176651001,-0.6485074400234744,0.12710110416025913,0.08991494121730355,0.6677232077657174,0.12845396941326548,-0.05280934325251657
4.0,0.08,0.0,4.0,0.41136693954467773,0.23198792338371277,0.08710025250911713,0.9435499310493469,-0.31936874985694885,0.04406476765871048,0.07599624246358871,0.2660764157772064,0.07531245797872543,-0.06404519826173782,0.2619318962097168,0.09472872316837311,1.5137789249420166,0.42977386713027954,-0.19128775596618652,0.08172514289617538,0.941850483417511,0.3290487229824066,0.05884610116481781,-0.034380219876766205,0.2660764157772064,0.07531245797872543,-0.06404519826173782,0.2619318962097168,0.09472872316837311,1.5137789249420166,-0.6450266857263246,0.13207995660011693,0.1165431007482959,0.6704549575829688,0.13387348241459904,-0.026273661769001352
5.0,0.1,0.0,5.0,0.4094655513763428,0.24415323138237,0.08548633009195328,0.9430673122406006,-0.3178166151046753,0.04017507657408714,0.0894579216837883,0.20960736274719238,0.03307796269655228,-0.10442681610584259,0.1428067535161972,0.04287062585353851,1.1608853340148926,0.4396315813064575,-0.1784188151359558,0.07821355015039444,0.941466212272644,0.3302421271800995,0.06421718746423721,-0.021396908909082413,0.20960736274719238,0.03307796269655228,-0.10442681610584259,0.1428067535161972,0.04287062585353851,1.1608853340148926,-0.640425155776133,0.13303004061294288,0.1449768346250439,0.6748743759410238,0.13546283809382778,0.002145160851581729
6.0,0.12,0.0,6.0,0.4099135398864746,0.24894310534000397,0.08312550187110901,0.9431509375572205,-0.31613171100616455,0.03974010422825813,0.09459084272384644,0.09525271505117416,0.07123148441314697,-0.0979079082608223,0.20219317078590393,0.16197039186954498,0.04459575563669205,0.44420015811920166,-0.1732827126979828,0.07419262826442719,0.9408548474311829,0.33164477348327637,0.06716406345367432,-0.017112236469984055,0.09525271505117416,0.07123148441314697,-0.0979079082608223,0.20219317078590393,0.16197039186954498,0.04459575563669205,-0.636299183669671,0.13517953446903888,0.1553360767403592,0.6786508624663865,0.13817288599888647,0.012468110417613159
7.0,0.14,0.0,7.0,0.4131646156311035,0.24902234971523285,0.08282191306352615,0.9439437985420227,-0.31431037187576294,0.039725176990032196,0.09273950010538101,0.13297536969184875,0.10978006571531296,-0.06404858082532883,0.1559230089187622,-0.14860843122005463,-0.16045963764190674,0.44586506485939026,-0.1732931286096573,0.07231821119785309,0.9402208924293518,0.33356231451034546,0.06613831967115402,-0.01860981248319149,0.13297536969184875,0.10978006571531296,-0.06404858082532883,0.1559230089187622,-0.14860843122005463,-0.16045963764190674,-0.6326588699689696,0.13369260262355384,0.1520464749455017,0.6824693180823431,0.13721452886584998,0.00921457364040748
8.0,0.16,0.0,8.0,0.414998322725296,0.2512870132923126,0.08345509320497513,0.9441402554512024,-0.31396228075027466,0.038369420915842056,0.0924907699227333,0.08281455934047699,0.10917266458272934,-0.01963287778198719,-0.015573966316878796,-0.08515258133411407,0.13045954704284668,0.44786176085472107,-0.17100726068019867,0.0726112574338913,0.9401423931121826,0.3340522348880768,0.06494710594415665,-0.017981765791773796,0.08281455934047699,0.10917266458272934,-0.01963287778198719,-0.015573966316878796,-0.08515258133411407,0.13045954704284668,-0.6320574267884782,0.1309030001114352,0.1524444003002415,0.6834656530227832,0.13453824381522506,0.00966812682126052
9.0,0.18,0.0,9.0,0.41424375772476196,0.2564394474029541,0.0831146165728569,0.943606436252594,-0.3147321343421936,0.03760744258761406,0.09558341652154922,0.015515932813286781,0.12430897355079651,0.03165591508150101,-0.09294503182172775,0.1010817363858223,0.39677685499191284,0.4498370587825775,-0.16564799845218658,0.07285258173942566,0.940418004989624,0.3331734538078308,0.0662044882774353,-0.015050369314849377,0.015515932813286781,0.12430897355079651,0.03165591508150101,-0.09294503182172775,0.1010817363858223,0.39677685499191284,-0.6334003021193022,0.1315184240521063,0.15874479299492594,0.682047553352439,0.1349578416963044,0.01595361425772387
