time_s,left_target_position_x_m,left_target_position_y_m,left_target_position_z_m,left_actual_position_x_m,left_actual_position_y_m,left_actual_position_z_m,right_target_position_x_m,right_target_position_y_m,right_target_position_z_m,right_actual_position_x_m,right_actual_position_y_m,right_actual_position_z_m
0.02,0.4080873131752014,0.21185705065727234,0.9192401170730591,0.39931195974349976,0.20929071307182312,0.9264021515846252,0.4080859422683716,-0.2118527740240097,0.9192285537719727,0.39840537309646606,-0.20746508240699768,0.9250971078872681
0.04,0.41408729553222656,0.21185705065727234,0.9192401170730591,0.4003996253013611,0.20710435509681702,0.9355517625808716,0.41408592462539673,-0.2118527740240097,0.9192285537719727,0.39671698212623596,-0.2026866376399994,0.935705304145813
0.06,0.4200873076915741,0.21185705065727234,0.9192401170730591,0.40395814180374146,0.1979941725730896,0.9438411593437195,0.42008593678474426,-0.2118527740240097,0.9192285537719727,0.39825257658958435,-0.19858385622501373,0.9463769793510437
0.08,0.42608729004859924,0.21185705065727234,0.9192401170730591,0.4078894853591919,0.18448100984096527,0.944639265537262,0.4260859191417694,-0.2118527740240097,0.9192285537719727,0.4004840850830078,-0.1985270082950592,0.9471986889839172
0.1,0.4320873022079468,0.21185705065727234,0.9192401170730591,0.4107118248939514,0.17444203794002533,0.936018705368042,0.43208593130111694,-0.2118527740240097,0.9192285537719727,0.4002237319946289,-0.2070297747850418,0.9362882375717163
0.12,0.4380872845649719,0.21185705065727234,0.9192401170730591,0.412076860666275,0.16772626340389252,0.9219774603843689,0.4380859136581421,-0.2118527740240097,0.9192285537719727,0.3971683382987976,-0.22239390015602112,0.9222569465637207
0.14,0.44408729672431946,0.21185705065727234,0.9192401170730591,0.41266101598739624,0.16287833452224731,0.9069603681564331,0.4440859258174896,-0.2118527740240097,0.9192285537719727,0.3924674689769745,-0.23767706751823425,0.9101004004478455
0.16,0.450087308883667,0.21185705065727234,0.9192401170730591,0.4127468168735504,0.1613840013742447,0.8976737856864929,0.45008593797683716,-0.2118527740240097,0.9192285537719727,0.3875610828399658,-0.2512497007846832,0.9038894772529602
0.18,0.45608729124069214,0.21185705065727234,0.9192401170730591,0.4123561978340149,0.16197824478149414,0.8974829316139221,0.4560859203338623,-0.2118527740240097,0.9192285537719727,0.38384994864463806,-0.2622537314891815,0.9047062993049622
0.2,0.4620873034000397,0.21185705065727234,0.9192401170730591,0.4136335849761963,0.16248811781406403,0.9030221700668335,0.46208593249320984,-0.2118527740240097,0.9192285537719727,0.3822634816169739,-0.2718007266521454,0.909532904624939
0.22,0.4680873155593872,0.21185705065727234,0.9192401170730591,0.41853034496307373,0.16291886568069458,0.9096423983573914,0.4680859446525574,-0.2118527740240097,0.9192285537719727,0.38306984305381775,-0.2835586369037628,0.9150285720825195
0.24,0.47408729791641235,0.21185705065727234,0.9192401170730591,0.426899254322052,0.1624462604522705,0.9151827692985535,0.4740859270095825,-0.2118527740240097,0.9192285537719727,0.3856385350227356,-0.29699015617370605,0.9198920726776123
