6.915114820003509521e-03,1.413704827427864075e-03,8.084975481033325195e-01,-2.245974354445934296e-02,3.530769050121307373e-02,5.744211077690124512e-01,8.174896240234375000e-01,7.365906238555908203e-02,1.403691768646240234e-01,3.799522817134857178e-01,6.324748396873474121e-01,-2.263175845146179199e-01,-6.168150156736373901e-02,-3.751211762428283691e-01,-3.063344359397888184e-01,-2.951341271400451660e-01,6.030556559562683105e-01,-1.764586269855499268e-01,4.687888175249099731e-02,-3.808415830135345459e-01,2.934495173394680023e-02,2.226539105176925659e-01,-6.557671818882226944e-03,1.424420952796936035e+00,3.494253158569335938e-01,-9.086832287721335888e-04,-1.797154396772384644e-01,-2.750086188316345215e-01,3.621107041835784912e-01,7.988156867213547230e-04,-1.551895976066589355e+00,-2.165372967720031738e-01,-3.032086193561553955e-01,3.024001233279705048e-02,-2.256256937980651855e-01,-1.662295311689376831e-02
1.391823962330818176e-02,3.164791315793991089e-02,8.106233477592468262e-01,2.484204480424523354e-03,3.542486578226089478e-02,5.512362122535705566e-01,8.335931897163391113e-01,-1.080413833260536194e-01,1.519071161746978760e-01,2.974117696285247803e-01,9.328182935714721680e-01,-1.868137717247009277e-01,-6.313204765319824219e-02,-4.053719043731689453e-01,-3.459469676017761230e-01,-2.636134326457977295e-01,6.817547678947448730e-01,-1.808180958032608032e-01,2.621287852525711060e-02,-3.092610538005828857e-01,-2.791301114484667778e-03,3.305917084217071533e-01,1.537102907896041870e-01,1.308070421218872070e+00,4.111078083515167236e-01,1.969913840293884277e-01,-2.856764495372772217e-01,-2.885938286781311035e-01,2.593051195144653320e-01,2.479389496147632599e-02,-1.577877402305603027e+00,-3.405796885490417480e-01,-3.638888895511627197e-01,4.675306379795074463e-02,-2.001156210899353027e-01,-2.974974922835826874e-02
1.712574996054172516e-02,5.390985682606697083e-02,8.079681396484375000e-01,1.335452124476432800e-02,2.970549091696739197e-02,5.366070270538330078e-01,8.432034850120544434e-01,-2.541103363037109375e-01,1.964543759822845459e-01,2.707467377185821533e-01,1.119822263717651367e+00,-2.197469770908355713e-01,-5.898980423808097839e-02,-4.326191842555999756e-01,-3.553569316864013672e-01,-2.202892005443572998e-01,7.458192110061645508e-01,-1.649801433086395264e-01,2.283349633216857910e-02,-2.441097646951675415e-01,-2.536408044397830963e-02,4.120116233825683594e-01,1.665422022342681885e-01,1.223476529121398926e+00,3.684399127960205078e-01,3.106238245964050293e-01,-2.505767345428466797e-01,-2.528960406780242920e-01,2.434111088514328003e-01,-1.295377127826213837e-02,-1.582180023193359375e+00,-3.600453138351440430e-01,-3.703958690166473389e-01,-1.226784195750951767e-02,-1.858232468366622925e-01,-1.023443713784217834e-01
1.736639626324176788e-02,7.224807888269424438e-02,8.026490211486816406e-01,2.051291055977344513e-02,3.735050186514854431e-02,5.214036703109741211e-01,8.522455096244812012e-01,-4.639528095722198486e-01,2.499902546405792236e-01,2.215935587882995605e-01,1.242790818214416504e+00,-2.505854666233062744e-01,-4.536671191453933716e-02,-4.956158697605133057e-01,-3.613683283329010010e-01,-1.746751815080642700e-01,8.042867183685302734e-01,-1.688829064369201660e-01,7.872856222093105316e-03,-1.440789997577667236e-01,-4.645437747240066528e-02,4.877956807613372803e-01,2.030238509178161621e-02,1.033135294914245605e+00,1.471750736236572266e-01,5.540576577186584473e-01,-1.854414790868759155e-01,-1.927784830331802368e-01,2.382959723472595215e-01,-1.755970120429992676e-01,-1.509868383407592773e+00,-2.238452881574630737e-01,-3.336182534694671631e-01,-5.363676697015762329e-02,-1.834238171577453613e-01,-1.625851392745971680e-01
1.755623891949653625e-02,8.914982527494430542e-02,7.919563651084899902e-01,1.953613944351673126e-02,5.531765148043632507e-02,5.103666782379150391e-01,8.579534888267517090e-01,-6.796102523803710938e-01,3.021551668643951416e-01,1.842157542705535889e-01,1.177056193351745605e+00,-2.693049013614654541e-01,-3.056031279265880585e-02,-5.833010673522949219e-01,-3.503118157386779785e-01,-1.408088952302932739e-01,8.716292381286621094e-01,-2.178146690130233765e-01,6.269858218729496002e-03,-5.502863973379135132e-02,-6.998290866613388062e-02,5.194311738014221191e-01,-1.621239930391311646e-01,8.698300719261169434e-01,-4.589577019214630127e-02,7.848073840141296387e-01,-9.714103490114212036e-02,-1.839498132467269897e-01,2.700045406818389893e-01,-4.382310509681701660e-01,-1.367269515991210938e+00,6.064490973949432373e-02,-1.581023186445236206e-01,-1.372784376144409180e-01,-2.070167362689971924e-01,-2.631330788135528564e-01
1.681599393486976624e-02,1.086099147796630859e-01,7.753547430038452148e-01,1.145297475159168243e-02,6.962589919567108154e-02,5.002024769783020020e-01,8.630287051200866699e-01,-8.612378835678100586e-01,3.310248851776123047e-01,1.392230093479156494e-01,9.854308962821960449e-01,-2.217225134372711182e-01,-3.271304070949554443e-02,-6.533298492431640625e-01,-3.272303044795989990e-01,-1.395540535449981689e-01,9.658814668655395508e-01,-3.037862479686737061e-01,1.041305251419544220e-02,2.721335552632808685e-02,-8.919492363929748535e-02,5.199999809265136719e-01,-2.972811758518218994e-01,7.082006931304931641e-01,-2.023202329874038696e-01,9.339613318443298340e-01,-7.534023374319076538e-02,-1.838918477296829224e-01,3.047484755516052246e-01,-6.303440332412719727e-01,-1.157530188560485840e+00,2.971727848052978516e-01,4.842429235577583313e-02,-1.393002867698669434e-01,-2.150986641645431519e-01,-3.856638073921203613e-01
1.730190962553024292e-02,1.342262327671051025e-01,7.496561408042907715e-01,-8.046707138419151306e-03,7.888258993625640869e-02,4.907527863979339600e-01,8.676834106445312500e-01,-9.712580442428588867e-01,3.677838444709777832e-01,9.941833466291427612e-02,7.126882076263427734e-01,-9.866720438003540039e-02,-7.281742990016937256e-02,-7.069437503814697266e-01,-2.715273797512054443e-01,-1.466986685991287231e-01,1.097281813621520996e+00,-4.197418093681335449e-01,-1.267703156918287277e-02,1.266876161098480225e-01,-7.780606299638748169e-02,5.199999809265136719e-01,-4.024697542190551758e-01,5.710871815681457520e-01,-3.173803985118865967e-01,1.003704190254211426e+00,-8.032506704330444336e-02,-1.867569833993911743e-01,3.393369913101196289e-01,-7.777209281921386719e-01,-9.156316518783569336e-01,4.711441099643707275e-01,3.656561970710754395e-01,-1.262951493263244629e-01,-1.952562481164932251e-01,-4.417805075645446777e-01
1.818840578198432922e-02,1.657494455575942993e-01,7.205118536949157715e-01,-3.451935946941375732e-02,7.608311623334884644e-02,4.892127215862274170e-01,8.681536316871643066e-01,-1.038290858268737793e+00,3.983079195022583008e-01,6.388337910175323486e-02,5.445238351821899414e-01,1.301298756152391434e-02,-1.049557104706764221e-01,-7.263764142990112305e-01,-2.296223342418670654e-01,-1.364346891641616821e-01,1.226374745368957520e+00,-5.327065587043762207e-01,-4.296992719173431396e-02,2.250043898820877075e-01,-5.400703474879264832e-02,5.199999809265136719e-01,-4.764479398727416992e-01,4.679780602455139160e-01,-3.931162953376770020e-01,1.025117158889770508e+00,-7.634068280458450317e-02,-1.804737150669097900e-01,3.512235581874847412e-01,-8.465502858161926270e-01,-6.919692158699035645e-01,5.299275517463684082e-01,6.422384381294250488e-01,-6.433103233575820923e-02,-1.725656986236572266e-01,-4.201929569244384766e-01
2.019288577139377594e-02,1.825856864452362061e-01,6.952496170997619629e-01,-5.229773744940757751e-02,8.013326674699783325e-02,4.855052232742309570e-01,8.689811825752258301e-01,-1.095792651176452637e+00,4.077786803245544434e-01,2.413147501647472382e-02,5.040451884269714355e-01,8.234558999538421631e-02,-1.142871975898742676e-01,-7.292312979698181152e-01,-2.202888578176498413e-01,-1.196709349751472473e-01,1.318345785140991211e+00,-5.926235318183898926e-01,-5.758051574230194092e-02,2.995966672897338867e-01,-4.169247671961784363e-02,5.199999809265136719e-01,-5.152536034584045410e-01,4.078939259052276611e-01,-4.369819462299346924e-01,1.028843045234680176e+00,-5.098012834787368774e-02,-1.706966310739517212e-01,3.653587698936462402e-01,-9.206224679946899414e-01,-5.853757858276367188e-01,5.637816190719604492e-01,8.119447231292724609e-01,-5.834927409887313843e-02,-1.549526751041412354e-01,-3.769867122173309326e-01
2.420407161116600037e-02,2.004694640636444092e-01,6.762064695358276367e-01,-7.528579980134963989e-02,8.012562990188598633e-02,5.018121004104614258e-01,8.579607009887695312e-01,-1.179787755012512207e+00,3.752790391445159912e-01,-1.585598662495613098e-02,5.353651642799377441e-01,7.655669003725051880e-02,-8.318141102790832520e-02,-7.198094725608825684e-01,-2.032680064439773560e-01,-8.304101228713989258e-02,1.442436933517456055e+00,-6.736726760864257812e-01,-8.114104717969894409e-02,3.604459762573242188e-01,-3.738367557525634766e-02,5.199999809265136719e-01,-5.764578580856323242e-01,3.284501135349273682e-01,-4.734408259391784668e-01,1.050280451774597168e+00,-7.112016528844833374e-02,-1.623889356851577759e-01,3.688918948173522949e-01,-9.496560096740722656e-01,-4.143661856651306152e-01,5.776712894439697266e-01,1.064307093620300293e+00,-8.836997672915458679e-03,-1.325652897357940674e-01,-2.910237014293670654e-01
