step,tag,value,wall_time
42600,Metrics/base_velocity/error_vel_xy,0.0013358667492866516,1780315977.865391
42605,Metrics/base_velocity/error_vel_xy,0.03267455846071243,1780316009.9683504
42610,Metrics/base_velocity/error_vel_xy,0.03130277246236801,1780316043.8345275
42615,Metrics/base_velocity/error_vel_xy,0.030914274975657463,1780316078.121307
42620,Metrics/base_velocity/error_vel_xy,0.03108540177345276,1780316111.7200856
42625,Metrics/base_velocity/error_vel_xy,0.031030740588903427,1780316144.6071286
42630,Metrics/base_velocity/error_vel_xy,0.031194275245070457,1780316177.7998688
42635,Metrics/base_velocity/error_vel_xy,0.030854588374495506,1780316212.0398622
42640,Metrics/base_velocity/error_vel_xy,0.030949439853429794,1780316247.1535683
42645,Metrics/base_velocity/error_vel_xy,0.03020830824971199,1780316281.5855148
42650,Metrics/base_velocity/error_vel_xy,0.030167117714881897,1780316317.5051775
42655,Metrics/base_velocity/error_vel_xy,0.03001449629664421,1780316352.8212662
42660,Metrics/base_velocity/error_vel_xy,0.02981169894337654,1780316388.0140724
42665,Metrics/base_velocity/error_vel_xy,0.029429888352751732,1780316422.773598
42670,Metrics/base_velocity/error_vel_xy,0.02907540276646614,1780316458.0713942
42675,Metrics/base_velocity/error_vel_xy,0.028517242521047592,1780316493.7765703
42680,Metrics/base_velocity/error_vel_xy,0.02799740433692932,1780316529.24065
42685,Metrics/base_velocity/error_vel_xy,0.02727559208869934,1780316564.71169
42690,Metrics/base_velocity/error_vel_xy,0.026528362184762955,1780316600.1815643
42695,Metrics/base_velocity/error_vel_xy,0.025105148553848267,1780316634.7466037
42700,Metrics/base_velocity/error_vel_xy,0.02385423704981804,1780316669.7382374
42705,Metrics/base_velocity/error_vel_xy,0.02243555709719658,1780316704.4297342
42710,Metrics/base_velocity/error_vel_xy,0.021595073863863945,1780316739.7960505
42715,Metrics/base_velocity/error_vel_xy,0.020976422354578972,1780316776.141139
42720,Metrics/base_velocity/error_vel_xy,0.020389374345541,1780316812.7135189
42725,Metrics/base_velocity/error_vel_xy,0.02016139030456543,1780316849.4053211
42730,Metrics/base_velocity/error_vel_xy,0.020088139921426773,1780316882.8651025
42735,Metrics/base_velocity/error_vel_xy,0.020267656072974205,1780316911.3159664
42740,Metrics/base_velocity/error_vel_xy,0.020488472655415535,1780316940.8316386
42745,Metrics/base_velocity/error_vel_xy,0.02096111886203289,1780316968.5781205
42750,Metrics/base_velocity/error_vel_xy,0.02166781947016716,1780316994.7098265
