step,tag,value,wall_time
97598,Metrics/base_velocity/error_vel_xy,0.010127503424882889,1780446268.0229907
97603,Metrics/base_velocity/error_vel_xy,0.11117824167013168,1780446302.910973
97608,Metrics/base_velocity/error_vel_xy,0.11088323593139648,1780446336.5105886
97613,Metrics/base_velocity/error_vel_xy,0.11041020601987839,1780446369.8927705
97618,Metrics/base_velocity/error_vel_xy,0.11735611408948898,1780446402.6810036
97623,Metrics/base_velocity/error_vel_xy,0.13095906376838684,1780446435.890704
97628,Metrics/base_velocity/error_vel_xy,0.1475585550069809,1780446469.1812632
97633,Metrics/base_velocity/error_vel_xy,0.15192779898643494,1780446501.7074912
97638,Metrics/base_velocity/error_vel_xy,0.15528982877731323,1780446533.2345562
97643,Metrics/base_velocity/error_vel_xy,0.18091034889221191,1780446566.5935817
97648,Metrics/base_velocity/error_vel_xy,0.18836610019207,1780446598.75955
97653,Metrics/base_velocity/error_vel_xy,0.20482943952083588,1780446629.2720377
97658,Metrics/base_velocity/error_vel_xy,0.22087252140045166,1780446661.3440592
97663,Metrics/base_velocity/error_vel_xy,0.26767945289611816,1780446692.362627
97668,Metrics/base_velocity/error_vel_xy,0.32312899827957153,1780446724.5750935
97673,Metrics/base_velocity/error_vel_xy,0.3702576160430908,1780446757.5814137
97678,Metrics/base_velocity/error_vel_xy,0.3164929747581482,1780446788.9236326
97683,Metrics/base_velocity/error_vel_xy,0.6708983182907104,1780446818.628234
97688,Metrics/base_velocity/error_vel_xy,0.6609519720077515,1780446849.8413293
97693,Metrics/base_velocity/error_vel_xy,0.6447580456733704,1780446882.2392032
97698,Metrics/base_velocity/error_vel_xy,0.6399669051170349,1780446913.66121
97703,Metrics/base_velocity/error_vel_xy,0.6377236247062683,1780446945.2084363
97708,Metrics/base_velocity/error_vel_xy,0.6413726806640625,1780446975.4857109
97713,Metrics/base_velocity/error_vel_xy,0.5979450941085815,1780447006.6993098
97718,Metrics/base_velocity/error_vel_xy,0.5170931220054626,1780447037.674067
97723,Metrics/base_velocity/error_vel_xy,0.4946613907814026,1780447069.3892972
97728,Metrics/base_velocity/error_vel_xy,0.6273001432418823,1780447101.0329363
97733,Metrics/base_velocity/error_vel_xy,0.6379319429397583,1780447132.5384119
97738,Metrics/base_velocity/error_vel_xy,0.6401656270027161,1780447164.0531101
97743,Metrics/base_velocity/error_vel_xy,0.642548143863678,1780447195.0631182
97748,Metrics/base_velocity/error_vel_xy,0.6411654949188232,1780447226.4348695
97753,Metrics/base_velocity/error_vel_xy,0.621412992477417,1780447256.8941076
97758,Metrics/base_velocity/error_vel_xy,0.6466279625892639,1780447288.8599255
97763,Metrics/base_velocity/error_vel_xy,0.5887553691864014,1780447317.7232468
97768,Metrics/base_velocity/error_vel_xy,0.6218403577804565,1780447346.7348115
97773,Metrics/base_velocity/error_vel_xy,0.6373327970504761,1780447376.414933
97778,Metrics/base_velocity/error_vel_xy,0.6394662261009216,1780447405.6037707
97783,Metrics/base_velocity/error_vel_xy,0.6391648650169373,1780447434.988777
97788,Metrics/base_velocity/error_vel_xy,0.629313051700592,1780447464.454629
97793,Metrics/base_velocity/error_vel_xy,0.6165476441383362,1780447494.5954762
97798,Metrics/base_velocity/error_vel_xy,0.6014766693115234,1780447524.6061668
