t,left_x,left_y,left_z,left_qw,left_qx,left_qy,left_qz,left_vx,left_vy,left_vz,left_wx,left_wy,left_wz,left_Fx,left_Fy,left_Fz,left_Mx,left_My,left_Mz,right_x,right_y,right_z,right_qw,right_qx,right_qy,right_qz,right_vx,right_vy,right_vz,right_wx,right_wy,right_wz,right_Fx,right_Fy,right_Fz,right_Mx,right_My,right_Mz
0.075,0.105,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.73861037488969e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.105,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.94304949753946e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.08,0.106,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.73861037488969e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.106,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.94304949753946e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.085,0.107,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.73861037488969e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.107,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.94304949753946e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.09,0.108,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.80799931392876e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.108,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.01243843657853e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.095,0.109,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.73861037488969e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.109,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.94304949753946e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.1,0.11,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.73861037488969e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.11,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-5.94304949753946e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.105,0.111,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.80799931392876e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.111,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.01243843657853e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.11,0.112,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.80799931392876e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.112,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.01243843657853e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.115,0.113,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.80799931392876e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.113,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.01243843657853e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.12,0.114,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-1.87738825296783e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.114,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.0818273756176e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
