step,time_s,command_vx,actual_vx,actual_vy,speed_error_xy,vx_error,vy_error,hand_pos_error,torso_ang_vel_xy,pelvis_ang_vel_xy,action_rate,done,timeout,terminated
10,0.2,0.25,0.24372194707393646,0.011056995019316673,0.012714995071291924,-0.006278052926063538,0.011056995019316673,0.4799988269805908,0.12413917481899261,0.6313455104827881,0.43237045407295227,0,0,0
11,0.22,0.25,0.2540302872657776,0.008658056147396564,0.009550138376653194,0.004030287265777588,0.008658056147396564,0.4877678155899048,0.09431403130292892,0.6210772395133972,0.4076586961746216,0,0,0
12,0.24,0.25,0.25855687260627747,0.0023213797248899937,0.008866164833307266,0.008556872606277466,0.0023213797248899937,0.4933452606201172,0.05961993709206581,0.5013337731361389,0.4170064926147461,0,0,0
13,0.26,0.25,0.25260138511657715,-0.004330570809543133,0.005051836371421814,0.0026013851165771484,-0.004330570809543133,0.4965764582157135,0.023104479536414146,0.5324992537498474,0.29801511764526367,0,0,0
14,0.28,0.25,0.25151997804641724,-0.01024623867124319,0.010358365252614021,0.0015199780464172363,-0.01024623867124319,0.4976837635040283,0.01172858476638794,0.5364692807197571,0.28598061203956604,0,0,0
15,0.3,0.25,0.2587279677391052,-0.01238976325839758,0.015155317261815071,0.008727967739105225,-0.01238976325839758,0.4971206486225128,0.04356690123677254,0.4824616611003876,0.2809275686740875,0,0,0
16,0.32,0.25,0.2608332931995392,-0.011543212458491325,0.015830539166927338,0.010833293199539185,-0.011543212458491325,0.4952709674835205,0.06649143993854523,0.5596219301223755,0.28064438700675964,0,0,0
17,0.34,0.25,0.26783522963523865,-0.01333430502563715,0.022268792614340782,0.017835229635238647,-0.01333430502563715,0.4924904406070709,0.12843945622444153,0.608807384967804,0.3356471359729767,0,0,0
18,0.36,0.25,0.2648167312145233,-0.015479055233299732,0.021427474915981293,0.014816731214523315,-0.015479055233299732,0.48896145820617676,0.14481373131275177,0.6737078428268433,0.3112402558326721,0,0,0
19,0.38,0.25,0.2629435360431671,-0.017965370789170265,0.022142484784126282,0.012943536043167114,-0.017965370789170265,0.4847707152366638,0.13330958783626556,0.763526976108551,0.4438578188419342,0,0,0
20,0.4,0.25,0.269816517829895,-0.026890598237514496,0.03340357169508934,0.01981651782989502,-0.026890598237514496,0.48021191358566284,0.10831281542778015,0.7487083077430725,0.3897102475166321,0,0,0
21,0.42,0.25,0.2593420445919037,-0.026218315586447716,0.027832962572574615,0.009342044591903687,-0.026218315586447716,0.4754372239112854,0.10993819683790207,0.8177542686462402,0.4704413115978241,0,0,0
22,0.44,0.25,0.25432220101356506,-0.02145620808005333,0.021887218579649925,0.0043222010135650635,-0.02145620808005333,0.47042879462242126,0.09049342572689056,0.7406943440437317,0.5515334010124207,0,0,0
23,0.46,0.25,0.2496194839477539,-0.016771020367741585,0.016775336116552353,-0.00038051605224609375,-0.016771020367741585,0.4653959274291992,0.07723038643598557,0.5635325312614441,0.6538563966751099,0,0,0
24,0.48,0.25,0.23941054940223694,-0.01000838354229927,0.014570662751793861,-0.010589450597763062,-0.01000838354229927,0.4605562686920166,0.05051836371421814,0.501976490020752,0.5873337984085083,0,0,0
25,0.5,0.25,0.23743464052677155,-0.0037315543740987778,0.013107736594974995,-0.012565359473228455,-0.0037315543740987778,0.4560333490371704,0.039516717195510864,0.28705865144729614,0.4453977346420288,0,0,0
26,0.52,0.25,0.23506110906600952,0.003215900855138898,0.015281114727258682,-0.014938890933990479,0.003215900855138898,0.45207780599594116,0.03936733305454254,0.16987012326717377,0.3018006384372711,0,0,0
27,0.54,0.25,0.23643359541893005,0.005592029541730881,0.014673721976578236,-0.013566404581069946,0.005592029541730881,0.4490357041358948,0.03698248416185379,0.14812305569648743,0.2942964732646942,0,0,0
28,0.56,0.25,0.23280249536037445,0.010576985776424408,0.020189769566059113,-0.01719750463962555,0.010576985776424408,0.4467957019805908,0.0778822973370552,0.32134315371513367,0.3401031792163849,0,0,0
29,0.58,0.25,0.23681378364562988,0.014635816216468811,0.019699832424521446,-0.013186216354370117,0.014635816216468811,0.4451647102832794,0.07994210720062256,0.4048062860965729,0.2596145272254944,0,0,0
30,0.6,0.25,0.24132855236530304,0.011294949799776077,0.014239728450775146,-0.00867144763469696,0.011294949799776077,0.44431954622268677,0.015909429639577866,0.40337130427360535,0.31201907992362976,0,0,0
31,0.62,0.25,0.24197492003440857,0.0028624285478144884,0.008520293980836868,-0.00802507996559143,0.0028624285478144884,0.44380319118499756,0.007117269095033407,0.3748936355113983,0.22586490213871002,0,0,0
32,0.64,0.25,0.24247430264949799,-0.005565035156905651,0.009359793737530708,-0.007525697350502014,-0.005565035156905651,0.44333112239837646,0.01429834496229887,0.32740703225135803,0.30009710788726807,0,0,0
33,0.66,0.25,0.23860839009284973,-0.01281935628503561,0.017149480059742928,-0.011391609907150269,-0.01281935628503561,0.4428602457046509,0.0421961210668087,0.34304556250572205,0.2833695709705353,0,0,0
34,0.68,0.25,0.24071240425109863,-0.01797989197075367,0.020236995071172714,-0.009287595748901367,-0.01797989197075367,0.4425545334815979,0.04613811895251274,0.3857749104499817,0.2614806592464447,0,0,0
35,0.7000000000000001,0.25,0.24400119483470917,-0.022998057305812836,0.02376754768192768,-0.0059988051652908325,-0.022998057305812836,0.44243329763412476,0.04822096973657608,0.44596660137176514,0.24315765500068665,0,0,0
36,0.72,0.25,0.24788235127925873,-0.023954523727297783,0.02404794469475746,-0.002117648720741272,-0.023954523727297783,0.44239407777786255,0.03778383508324623,0.4492873549461365,0.2608090043067932,0,0,0
37,0.74,0.25,0.2504909038543701,-0.022196240723133087,0.022201668471097946,0.0004909038543701172,-0.022196240723133087,0.4424343407154083,0.03378520533442497,0.42883726954460144,0.2566700577735901,0,0,0
38,0.76,0.25,0.2470533400774002,-0.018168212845921516,0.018405618146061897,-0.0029466599225997925,-0.018168212845921516,0.44214892387390137,0.048772525042295456,0.37963950634002686,0.18543756008148193,0,0,0
39,0.78,0.25,0.24898208677768707,-0.010201700031757355,0.010252357460558414,-0.0010179132223129272,-0.010201700031757355,0.44134780764579773,0.056548502296209335,0.3064984381198883,0.23909731209278107,0,0,0
40,0.8,0.25,0.25085726380348206,-0.007421090733259916,0.007470441050827503,0.0008572638034820557,-0.007421090733259916,0.44024229049682617,0.062351420521736145,0.2793697714805603,0.3045792281627655,0,0,0
41,0.8200000000000001,0.25,0.2516014277935028,-0.006709452252835035,0.006897921673953533,0.0016014277935028076,-0.006709452252835035,0.4389422535896301,0.05289234593510628,0.2360704392194748,0.19562885165214539,0,0,0
42,0.84,0.25,0.2519184648990631,-0.008879600092768669,0.009084481745958328,0.0019184648990631104,-0.008879600092768669,0.4376857876777649,0.036199815571308136,0.1875203251838684,0.16063512861728668,0,0,0
43,0.86,0.25,0.24891239404678345,-0.011312813498079777,0.011364973150193691,-0.0010876059532165527,-0.011312813498079777,0.43666717410087585,0.10925080627202988,0.1654704511165619,0.23755641281604767,0,0,0
44,0.88,0.25,0.25829291343688965,-0.0024209460243582726,0.008639061823487282,0.008292913436889648,-0.0024209460243582726,0.4360261559486389,0.07907916605472565,0.19245117902755737,0.2596515715122223,0,0,0
45,0.9,0.25,0.25947001576423645,0.0017247513169422746,0.009625797159969807,0.00947001576423645,0.0017247513169422746,0.43574193120002747,0.04642220586538315,0.2956695258617401,0.26734644174575806,0,0,0
46,0.92,0.25,0.25441011786460876,0.0011875104391947389,0.004567200783640146,0.004410117864608765,0.0011875104391947389,0.43591490387916565,0.03185015544295311,0.41539186239242554,0.34542161226272583,0,0,0
47,0.9400000000000001,0.25,0.2540796399116516,0.001366921467706561,0.004302550107240677,0.004079639911651611,0.001366921467706561,0.4362229108810425,0.03412487357854843,0.3999151587486267,0.3394874930381775,0,0,0
48,0.96,0.25,0.25365540385246277,0.00199259165674448,0.004163219593465328,0.0036554038524627686,0.00199259165674448,0.4364382028579712,0.03536636754870415,0.430818110704422,0.3277588486671448,0,0,0
49,0.98,0.25,0.25423091650009155,0.0022395143751055002,0.004787074401974678,0.004230916500091553,0.0022395143751055002,0.4365524351596832,0.03389282152056694,0.43808791041374207,0.3064645230770111,0,0,0
50,1.0,0.25,0.256242573261261,0.004148602019995451,0.007495373021811247,0.006242573261260986,0.004148602019995451,0.4365614652633667,0.031053150072693825,0.3876037895679474,0.3160838782787323,0,0,0
51,1.02,0.25,0.25931593775749207,0.005907425191253424,0.01103106327354908,0.009315937757492065,0.005907425191253424,0.4365638196468353,0.024053795263171196,0.30464354157447815,0.3438931703567505,0,0,0
52,1.04,0.25,0.2588880658149719,0.00317209935747087,0.009437156841158867,0.008888065814971924,0.00317209935747087,0.43656355142593384,0.0260611604899168,0.21779878437519073,0.3291768729686737,0,0,0
53,1.06,0.25,0.26036009192466736,0.004913622513413429,0.011466262862086296,0.010360091924667358,0.004913622513413429,0.43650877475738525,0.024171559140086174,0.13374337553977966,0.2414816915988922,0,0,0
54,1.08,0.25,0.2589755952358246,0.0065340762957930565,0.011102047748863697,0.008975595235824585,0.0065340762957930565,0.4364111125469208,0.011019550263881683,0.057347580790519714,0.17386533319950104,0,0,0
55,1.1,0.25,0.2538526654243469,0.005488437134772539,0.006705667357891798,0.003852665424346924,0.005488437134772539,0.4360387921333313,0.04188418760895729,0.11637383699417114,0.18763388693332672,0,0,0
56,1.12,0.25,0.2591252326965332,0.009581992402672768,0.013231948018074036,0.009125232696533203,0.009581992402672768,0.4355095624923706,0.03821992874145508,0.22433438897132874,0.20794735848903656,0,0,0
57,1.1400000000000001,0.25,0.2569763958454132,0.011848927475512028,0.013750170357525349,0.006976395845413208,0.011848927475512028,0.4350029230117798,0.065638966858387,0.26908057928085327,0.17008309066295624,0,0,0
