step,time_s,command_vx,actual_vx,actual_vy,speed_error_xy,vx_error,vy_error,hand_pos_error,torso_ang_vel_xy,pelvis_ang_vel_xy,action_rate,done,timeout,terminated
5,0.1,0.30000001192092896,0.31736648082733154,0.024549320340156555,0.030070971697568893,0.017366468906402588,0.024549320340156555,0.1370406597852707,1.9947608709335327,0.382088303565979,2.7830584049224854,0,0,0
6,0.12,0.30000001192092896,0.3027134835720062,0.02497044950723648,0.025117449462413788,0.0027134716510772705,0.02497044950723648,0.0840403139591217,1.7307038307189941,0.5426025986671448,2.5498108863830566,0,0,0
7,0.14,0.30000001192092896,0.2917945683002472,0.01675768941640854,0.01865876279771328,-0.008205443620681763,0.01675768941640854,0.04326293617486954,1.121557354927063,0.48625752329826355,1.7956962585449219,0,0,0
8,0.16,0.30000001192092896,0.25611385703086853,0.01185167022049427,0.04545829817652702,-0.043886154890060425,0.01185167022049427,0.016966193914413452,0.6476545333862305,0.35239094495773315,0.985934317111969,0,0,0
9,0.18,0.30000001192092896,0.22389164566993713,-0.008407923392951488,0.07657138258218765,-0.07610836625099182,-0.008407923392951488,0.012993307784199715,0.31425294280052185,0.6355913281440735,1.6436491012573242,0,0,0
10,0.2,0.30000001192092896,0.22217197716236115,-0.03677503392100334,0.08607906848192215,-0.07782803475856781,-0.03677503392100334,0.01558813825249672,0.29822614789009094,0.7649798393249512,1.7598387002944946,0,0,0
11,0.22,0.30000001192092896,0.22287307679653168,-0.06110222637653351,0.0983973890542984,-0.07712693512439728,-0.06110222637653351,0.021221620962023735,0.40996643900871277,0.5965996384620667,1.7687435150146484,0,0,0
12,0.24,0.30000001192092896,0.2721046507358551,-0.02214883081614971,0.03561912104487419,-0.027895361185073853,-0.02214883081614971,0.021340249106287956,0.2822994887828827,0.8365543484687805,1.7452696561813354,0,0,0
13,0.26,0.30000001192092896,0.2745218276977539,-0.003116338513791561,0.025668062269687653,-0.02547818422317505,-0.003116338513791561,0.018444862216711044,0.287810355424881,1.0162568092346191,1.187994360923767,0,0,0
14,0.28,0.30000001192092896,0.2908910810947418,-0.00086191575974226,0.009149618446826935,-0.009108930826187134,-0.00086191575974226,0.0156941507011652,0.3970600962638855,0.7245562076568604,1.31473970413208,0,0,0
