clip,experiment,func,group,noise,run,scale,term
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,policy,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,base_lin_vel
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,critic,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-03_08-20-14_s1_fromJun02_97598_vel10_hand8_cfg_16k_5k,null,base_ang_vel
