clip,experiment,func,group,noise,run,scale,term
null,coopG1S0,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,base_ang_vel
null,coopG1S0,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,projected_gravity
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,velocity_commands
null,coopG1S0,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,joint_pos
null,coopG1S0,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,joint_vel
null,coopG1S0,isaaclab.envs.mdp.observations:last_action,policy,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,actions
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,gait_commands
null,coopG1S0,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,base_lin_vel
null,coopG1S0,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,base_ang_vel
null,coopG1S0,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,projected_gravity
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,velocity_commands
null,coopG1S0,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,joint_pos
null,coopG1S0,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,joint_vel
null,coopG1S0,isaaclab.envs.mdp.observations:last_action,critic,null,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,null,actions
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,gait_commands
null,coopG1S0,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,base_ang_vel
null,coopG1S0,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,projected_gravity
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,velocity_commands
null,coopG1S0,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,joint_pos
null,coopG1S0,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,joint_vel
null,coopG1S0,isaaclab.envs.mdp.observations:last_action,policy,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,actions
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,gait_commands
null,coopG1S0,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,base_lin_vel
null,coopG1S0,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,base_ang_vel
null,coopG1S0,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,projected_gravity
null,coopG1S0,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,velocity_commands
null,coopG1S0,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,joint_pos
null,coopG1S0,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,joint_vel
null,coopG1S0,isaaclab.envs.mdp.observations:last_action,critic,null,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,policy,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,base_lin_vel
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,critic,null,2026-05-28_19-29-28_s1_height2_carrypose_fromS0_50k_headless,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-05-30_17-24-12_holdbox,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-05-30_17-24-12_holdbox,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-05-30_17-24-12_holdbox,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-05-30_17-24-12_holdbox,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-05-30_17-24-12_holdbox,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,policy,null,2026-05-30_17-24-12_holdbox,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-05-30_17-24-12_holdbox,null,base_lin_vel
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-05-30_17-24-12_holdbox,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-05-30_17-24-12_holdbox,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-05-30_17-24-12_holdbox,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-05-30_17-24-12_holdbox,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-05-30_17-24-12_holdbox,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,critic,null,2026-05-30_17-24-12_holdbox,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,policy,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,base_lin_vel
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,critic,null,2026-06-01_20-06-52_s1_scratch_support_pose_boxup_16k_50k_save1k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,policy,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,base_lin_vel
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,critic,null,2026-06-01_20-07-28_s1_fromS0_42600_support_pose_boxup_16k_5k_save1k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 1.5, ""n_min"": -1.5, ""operation"": ""add""}",2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,policy,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_lin_vel,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,base_lin_vel
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,joint_pos
null,coopG1S1,isaaclab.envs.mdp.observations:joint_vel_rel,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,joint_vel
null,coopG1S1,isaaclab.envs.mdp.observations:last_action,critic,null,2026-06-02_13-45-44_s1_fromMay28_92599_support_pose_boxup_16k_5k_save1k,null,actions
null,coopG1S1,isaaclab.envs.mdp.observations:base_ang_vel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,base_ang_vel
null,coopG1S1,isaaclab.envs.mdp.observations:projected_gravity,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.03, ""n_min"": -0.03, ""operation"": ""add""}",2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,projected_gravity
null,coopG1S1,isaaclab.envs.mdp.observations:generated_commands,policy,null,2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,velocity_commands
null,coopG1S1,isaaclab.envs.mdp.observations:joint_pos_rel,policy,"{""func"": ""isaaclab.utils.noise.noise_model:uniform_noise"", ""n_max"": 0.01, ""n_min"": -0.01, ""operation"": ""add""}",2026-06-03_08-19-24_s1_fromMay30_92599_vel10_hand8_cfg_16k_5k,null,joint_pos
