experiment,path,run,size_bytes,step
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_46400.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,46400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_46600.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,46600
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_46800.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,46800
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_47000.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,47000
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_47200.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,47200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_47400.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,47400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k/model_47599.pt,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,10025991,47599
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_0.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456063,0
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_200.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456675,200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_400.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456675,400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_600.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456675,600
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_800.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456675,800
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_1000.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456757,1000
