experiment,final_step,final_value,run,tag
coopG1S0,47599,-6.538424713653512e-06,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Reward/dof_pos_limits
coopG1S0,47599,-0.0016321608563885093,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Reward/energy
coopG1S0,47599,-0.2568843364715576,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Reward/joint_deviation_arms
coopG1S0,47599,-0.009644763544201851,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Reward/joint_deviation_waists
coopG1S0,47599,1.9962886571884155,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Reward/torso_pelvis_yaw_alignment
coopG1S0,47599,0.08521747589111328,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Metrics/base_velocity/error_vel_xy
coopG1S0,47599,0.2119653820991516,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Metrics/base_velocity/error_vel_yaw
coopG1S0,47599,0.9976221919059753,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Termination/time_out
coopG1S0,47599,0.0018895467510446906,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Termination/base_height
coopG1S0,47599,6.103515625e-05,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Termination/bad_orientation
coopG1S0,47599,0.00042724609375,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Episode_Termination/base_contact
coopG1S0,47599,0.00066274160053581,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Loss/value_function
coopG1S0,47599,-0.002340741688385606,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Loss/surrogate
coopG1S0,47599,-12.376638412475586,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Loss/entropy
coopG1S0,47599,2.2500000341096893e-05,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Loss/learning_rate
coopG1S0,47599,0.1768866628408432,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Policy/mean_noise_std
coopG1S0,47599,59038.0,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Perf/total_fps
coopG1S0,47599,6.303993225097656,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Perf/collection time
coopG1S0,47599,0.3563356399536133,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Perf/learning_time
coopG1S0,47599,137.96014404296875,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Train/mean_reward
coopG1S0,47599,1000.0,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Train/mean_episode_length
coopG1S0,33249,137.96014404296875,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Train/mean_reward/time
coopG1S0,33249,1000.0,2026-06-06_13-45-36_s0_clean_arm_waist_yaw_from42600_16k_5k,Train/mean_episode_length/time
coopG1S0,4492,0.9840020537376404,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/track_lin_vel_xy
coopG1S0,4492,1.450366497039795,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/track_ang_vel_z
coopG1S0,4492,1.0000133514404297,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/alive
coopG1S0,4492,0.19962283968925476,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/torso_lin_vel
coopG1S0,4492,0.1927097737789154,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/torso_ang_vel
coopG1S0,4492,0.49846094846725464,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/upright_torso
coopG1S0,4492,0.49284982681274414,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/torso_height
coopG1S0,4492,-0.019734665751457214,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/joint_vel
coopG1S0,4492,-0.011610552668571472,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/joint_acc
coopG1S0,4492,-0.08363428711891174,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/action_rate
coopG1S0,4492,-7.72731946199201e-05,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/dof_pos_limits
coopG1S0,4492,-0.001607246114872396,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/energy
coopG1S0,4492,-0.0581713542342186,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/joint_deviation_arms
coopG1S0,4492,-0.004021266475319862,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/joint_deviation_waists
coopG1S0,4492,1.999426245689392,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/torso_pelvis_yaw_alignment
coopG1S0,4492,0.9209734201431274,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/gait
coopG1S0,4492,0.9513461589813232,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,Episode_Reward/gait_ensure
